"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United Kingdom","Cairnmore Solar Park",3.8,57.3086,-2.8272,"Solar"
"United Kingdom","Cairnmore Solar Park (extension)",1.2,57.3081,-2.8238,"Solar"
"United Kingdom","Caldecote Manor Farm",5,52.2104,-0.2071,"Solar"
"United Kingdom","Callington Solar Farm",6.4,50.5072,-4.326,"Solar"
"United Kingdom","Canada Farm",8.3,50.8378,-2.2282,"Solar"
"United Kingdom","Canopus Farm",5,53.0099,-0.055,"Solar"
"United Kingdom","Cantelupe Solar Farm",5,52.1721,0.0673,"Solar"
"United Kingdom","Canworthy Water",41,50.7035,-4.4906,"Solar"
"United Kingdom","Capel Grange Solar Park",6.6,51.1781,0.3596,"Solar"
"United Kingdom","Capeland Farm",8.3,51.1312,-3.9082,"Solar"
"United Kingdom","Carines Farm Solar Array",1,50.3833,-5.1111,"Solar"
"United Kingdom","Carlam Hill Education CIC",5,53.8085,-0.3158,"Solar"
"United Kingdom","Carloggas Farm Solar Park",8.3,50.3513,-4.8759,"Solar"
"United Kingdom","Carlton Farm Solar farm",5,52.8048,1.3987,"Solar"
"United Kingdom","Carnemough Farm Solar Park",7,50.3316,-4.9292,"Solar"
"United Kingdom","Carver Hay  moss lane",2.5,53.7066,-2.7814,"Solar"
"United Kingdom","Castle Combe",15.32736,51.4936,-2.2174,"Solar"
"United Kingdom","Castle Eaton Farm",17.8,51.6491,-1.7907,"Solar"
"United Kingdom","Caswell Farm Solar Park",6.7,50.8878,-2.5962,"Solar"
"United Kingdom","Causilgey Solar Farm",5,50.2863,-5.1209,"Solar"
"United Kingdom","Cefn Betingau Farm",9,51.7942,-3.9437,"Solar"
"United Kingdom","Chalcroft Solar Park",6.3,50.9494,-1.3079,"Solar"
"United Kingdom","Chalgrove Solar",21.34044,51.6705,-1.0597,"Solar"
"United Kingdom","Chancery Farm (Ardleigh)",11.9,51.9104,0.9938,"Solar"
"United Kingdom","Chapel Farm",5,51.613,-1.8167,"Solar"
"United Kingdom","Chapel Hill",8,51.6423,-4.9484,"Solar"
"United Kingdom","Chapel Lane Parley Solar Farm Phase 1",20,50.7918,-1.8612,"Solar"
"United Kingdom","Chapel Lane Parley Solar Farm Phase 2",36,50.7959,-1.8563,"Solar"
"United Kingdom","Chapel Lane Parley Solar Farm Phase 3",4,50.8032,-1.8644,"Solar"
"United Kingdom","Chard Solar Park",3,50.8859,-2.9434,"Solar"
"United Kingdom","Charity Farm - CfD",14.402485,52.8244,-2.8096,"Solar"
"United Kingdom","Chawton Farm Solar Farm",3.2,50.735,-1.302,"Solar"
"United Kingdom","Chediston Hall Solar Park",12.3,52.3522,1.4737,"Solar"
"United Kingdom","Chelveston Airfield",16,52.3027,-0.5253,"Solar"
"United Kingdom","Chelveston Airfield - extension",3.5,52.3021,-0.5196,"Solar"
"United Kingdom","Chelveston Renewable Energy Park - Solar Extension",19.5,52.3041,-0.5286,"Solar"
"United Kingdom","Chelwood Solar Farm",5,51.3484,-2.5157,"Solar"
"United Kingdom","Chelworth Industrial Estate Solar Park",1,51.6276,-1.8876,"Solar"
"United Kingdom","Cherry Tree Farm",5,53.2373,-1.3425,"Solar"
"United Kingdom","Chester Energy (East Woolley Farm)",5,50.9235,-4.4863,"Solar"
"United Kingdom","Chilton Cantelo Solar Park",4.997,50.9945,-2.6027,"Solar"
"United Kingdom","Chisbon Solar Farm (Frowick Lane)",13,51.8219,1.0873,"Solar"
"United Kingdom","Chittering",4.9934,52.3152,0.2177,"Solar"
"United Kingdom","Chittering Solar Farm",5,52.3181,0.2211,"Solar"
"United Kingdom","Christchurch Energy",18,50.7555,-1.7502,"Solar"
"United Kingdom","Church Farm - Slapton",4.9848,51.8718,-0.6326,"Solar"
"United Kingdom","Chynoweth Farm",2.9,50.3045,-5.0815,"Solar"
"United Kingdom","Clann Solar Farm",1.4,50.4408,-4.7776,"Solar"
"United Kingdom","Clapham solar farm",7.5,52.1767,-0.4844,"Solar"
"United Kingdom","Clapton Farm Solar Park",5,51.0567,-2.3472,"Solar"
"United Kingdom","Clawdd Ddu",13.521,51.7708,-4.038,"Solar"
"United Kingdom","Clayhill Farm",10,51.9874,-0.4818,"Solar"
"United Kingdom","Claypit Moor Solar Farm (Lexham)",7.9,52.745,0.7758,"Solar"
"United Kingdom","Clearwell Farm - solar",2,51.5617,-3.0894,"Solar"
"United Kingdom","Cleave Farm",4.56435,51.0039,-4.1408,"Solar"
"United Kingdom","Cobbs Cross Solar Park",5,51.1124,-3.0371,"Solar"
"United Kingdom","Cockett Valley",4,51.637,-4.013,"Solar"
"United Kingdom","Cockhill Solar Farm",20,51.3315,-2.224,"Solar"
"United Kingdom","Cold Harbour",5,54.1698,-1.3156,"Solar"
"United Kingdom","Collacott Farm",4.5,51.0534,-4.1253,"Solar"
"United Kingdom","Colpmans Farm",5,52.4056,-0.5611,"Solar"
"United Kingdom","Coltishall 1",33.682,52.7551,1.3569,"Solar"
"United Kingdom","Combermere Abbey",14,52.9994,-2.5962,"Solar"
"United Kingdom","Common Farm",4.99,51.5353,-1.8036,"Solar"
"United Kingdom","Condover (Green Farm)",10.2,52.6569,-2.7298,"Solar"
"United Kingdom","Condover Airfield",12.3,52.6327,-2.7301,"Solar"
"United Kingdom","Congresbury Solar Farm",7.1,51.3501,-2.8246,"Solar"
"United Kingdom","Coombe Farm",8,50.6582,-3.3934,"Solar"
"United Kingdom","Coombeshead Solar Farm",8,50.386,-3.7664,"Solar"
"United Kingdom","Cooper House Farm",5,53.7664,-2.8762,"Solar"
"United Kingdom","Copley Farm",30,53.0222,-0.7353,"Solar"
"United Kingdom","Corntown Farm",3.4,51.4796,-3.5305,"Solar"
"United Kingdom","Cotgrave",4.9833,52.918,-1.05,"Solar"
"United Kingdom","Coton Park Solar Farm",2.7,52.7585,-1.5977,"Solar"
"United Kingdom","Court Colman solar park",15,51.5227,-3.6187,"Solar"
"United Kingdom","Court Farm (Resubmission)",8.5,51.6011,-2.8787,"Solar"
"United Kingdom","Cowdown Lane",40,51.1961,-1.4601,"Solar"
"United Kingdom","Cranham Golf Course Solar Park",2.6,51.5587,0.2827,"Solar"
"United Kingdom","Crannaford Solar Farm",12.5,50.7599,-3.4048,"Solar"
"United Kingdom","Crapnell Farm Solar Farm",5.4,51.2091,-2.5784,"Solar"
"United Kingdom","Creathorne Farm  - Solar Farm",1.8,50.7956,-4.5451,"Solar"
"United Kingdom","Cressing Solar Farm (Phase 1)",5,51.8408,0.6011,"Solar"
"United Kingdom","Creswell Solar Park (resubmission)",5,53.2558,-1.2074,"Solar"
"United Kingdom","Crockers Hele",1.3,50.8423,-4.0951,"Solar"
"United Kingdom","Crookedstone",4.83184,54.6707,-6.1985,"Solar"
"United Kingdom","Cross Roads Plantation",5,50.9069,-1.8404,"Solar"
"United Kingdom","Crossness",1.50371,51.508,0.1377,"Solar"
"United Kingdom","Crossways Solar Park",4.997,50.7,-2.3243,"Solar"
"United Kingdom","Crow Trees Farm",4.8,53.1073,-1.2991,"Solar"
"United Kingdom","Croydon / Church Farm (Royston)",16.5,52.1285,-0.0797,"Solar"
"United Kingdom","Crucis Farm",16.057,51.7241,-1.9132,"Solar"
"United Kingdom","Crugmore Farm",6.4,52.0918,-4.6206,"Solar"
"United Kingdom","Crundale / Fenton Home Farm (extension)",5.9,51.8236,-4.9284,"Solar"
"United Kingdom","Cuckoo Grove Farm",7.5,51.8099,-5.0074,"Solar"
"United Kingdom","Culmhead Solar Farm (Resubmission)",7.5,50.9261,-3.128,"Solar"
"United Kingdom","Culworth",3.63639,52.1095,-1.2047,"Solar"
"United Kingdom","Cwm Derwyn Farm",5,51.4162,-3.3144,"Solar"
"United Kingdom","Cwmcaesingrug Farm",10,51.6351,-3.1698,"Solar"
"United Kingdom","Cwrt Henllys",4.99252,51.6214,-3.0794,"Solar"
"United Kingdom","DPD Distribution Centre",1,52.5068,-2.009,"Solar"
"United Kingdom","Danes Farm",3.3,53.3224,-0.6975,"Solar"
"United Kingdom","Danes Farm - extension",10.5,53.3224,-0.6975,"Solar"
"United Kingdom","Decoy Farm",5,52.698,-0.1329,"Solar"
"United Kingdom","Decoy Farm House Solar Modules",6,50.8291,-0.692,"Solar"
"United Kingdom","Deepdale Farm",8,53.0276,-0.3991,"Solar"
"United Kingdom","Dengemarsh Road",1,50.9351,0.9099,"Solar"
"United Kingdom","Derriton Fields Solar Farm",11.8,50.8026,-4.3678,"Solar"
"United Kingdom","Desford Solar Farm",5,52.64,-1.2586,"Solar"
"United Kingdom","Dolmans Hill (Redbridge Farm) Solar Arrays",5,50.7504,-2.1031,"Solar"
"United Kingdom","Drakelow Solar Farm",5,52.7742,-1.6535,"Solar"
"United Kingdom","Drapers Farm Solar Park",6,51.8562,0.4983,"Solar"
