Data_Status,State,MSN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020,US,FFETK,9.716,9.516,9.541,9.51,9.319,9.232,9.213,9.104,8.905,8.773
2020,US,FFTCB,79267193,77293829,79239012,80038768,79113179,78346000,77940537,81289711,80403413,73041932
2020,US,FNICB,487319,453921,517836,442606,428058,420024,436177,447088,396691,354607
2020,US,FNICP,92858,86494,98673,84338,81566,80035,83113,85192,75589,67570
2020,US,FOICB,388528,287242,223919,247225,229039,222457,262929,239081,234089,217010
2020,US,FOICP,66700,49312,38441,42442,39320,38190,45138,41044,40187,37255
2020,US,GDPRV,15599731,16253970,16843196,17550687,18206023,18695106,19479623,20527159,21372582,20893746
2020,US,GDPRX,15891534,16253970,16553348,16932051,17390295,17680274,18079084,18606787,19032672,18384687
2020,US,GECCB,19700,19700,19700,19700,19700,19700,19700,20004,23634,23639
2020,US,GEEGB,148811,148092,150506,150990,148336,146104,146733,145060,133851,135462
2020,US,GEEGP,15316,15562,15775,15877,15918,15826,15927,15934,15031,15441
2020,US,GEICB,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
2020,US,GERCB,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600
2020,US,GETCB,212311,211592,214006,214490,211836,209604,210233,208865,201285,202900
2020,US,GETXB,63500,63500,63500,63500,63500,63500,63500,63804,67434,67439
2020,US,HLACB,4511,4369,5195,5982,7669,8833,9142,8929,8693,4568
2020,US,HLACP,1174,1137,1353,1557,1997,2300,2380,2325,2263,1189
2020,US,HLCCB,142509,135525,151617,160473,148028,150012,155673,175966,182028,201045
2020,US,HLCCP,37102,35284,39473,41779,38539,39056,40529,45812,47391,52342
2020,US,HLICB,2171662,2351282,2545486,2410576,2620021,2595425,2676726,3028074,3142607,3255712
2020,US,HLICK,3.316,3.36,3.388,3.344,3.385,3.342,3.315,3.292,3.31,3.259
2020,US,HLICP,654817,699878,751315,720847,774092,776666,807486,919954,949370,998951
2020,US,HLRCB,492612,395556,463473,489523,445710,429888,430702,506546,563405,494934
2020,US,HLRCP,128251,102982,120665,127447,116040,111921,112133,131879,146682,128855
2020,US,HLTCB,2811294,2886731,3165772,3066554,3221427,3184158,3272243,3719514,3896734,3956259
2020,US,HLTCK,3.423,3.44,3.468,3.439,3.461,3.424,3.4,3.381,3.401,3.349
2020,US,HLTCP,821345,839282,912806,891630,930667,929942,962528,1099970,1145706,1181338
2020,US,HLTXB,2811294,2886731,3165772,3066554,3221427,3184158,3272243,3719514,3896734,3956259
