"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United States of America","Bladenboro Solar  LLC",4.8,34.5478,-78.8177,"Solar"
"United States of America","Blue Lake Solar",3.9,44.7964,-93.4296,"Solar"
"United States of America","Blue Sky One",1.3,36.9078,-105.9853,"Solar"
"United States of America","Blue Wing Solar Energy Generation",13.9,29.3042,-98.4003,"Solar"
"United States of America","BlueWave Capital - Grafton (SREC II)",1.3,42.2255,-71.6627,"Solar"
"United States of America","Blueberry One",5,35.3139,-78.1542,"Solar"
"United States of America","Blythe Solar 110  LLC",109.8,33.68,-114.742,"Solar"
"United States of America","Blythe Solar II  LLC",131.2,33.68,-114.73,"Solar"
"United States of America","Boaz Farm Solar",5,35.4678,-79.1344,"Solar"
"United States of America","Bolthouse S&P and Rowen Farms Solar",1.2,34.5644,-117.6933,"Solar"
"United States of America","Bolton Farm",5,36.4216,-78.1323,"Solar"
"United States of America","Bolton PV",4.9,42.4497,-71.6431,"Solar"
"United States of America","Bondi Solar",5,35.1341,-77.5385,"Solar"
"United States of America","Bonnybrooke PV",50,33.053,-111.34,"Solar"
"United States of America","Bordentown Solar",6.8,40.0389,-74.7766,"Solar"
"United States of America","Boseman Solar Center LLC",5,36.0081,-77.81,"Solar"
"United States of America","Boston Scientific Solar",1.1,42.2933,-71.0339,"Solar"
"United States of America","Boulder Solar II  LLC",50,35.85,-114.944,"Solar"
"United States of America","Boulder Solar Power  LLC",100,35.348,-114.97,"Solar"
"United States of America","Bourne (MA) - Holliston I",2.9,42.1779,-71.4546,"Solar"
"United States of America","Bradley PV1",5,36.2606,-77.0764,"Solar"
"United States of America","Braintree Landfill Solar",1,42.2073,-70.9978,"Solar"
"United States of America","Braley Road 2",2.7,41.7517,-70.9669,"Solar"
"United States of America","Brentwood Solar",1,40.7814,-73.2439,"Solar"
"United States of America","Brewster Landfill",1,41.7456,-70.1031,"Solar"
"United States of America","Brickyard Solar",1.5,40.1894,-74.1545,"Solar"
"United States of America","Bridgeport Disposal Solar Farm",1.2,39.7875,-75.3508,"Solar"
"United States of America","Bridgewater Solar",2.3,41.9641,-70.9719,"Solar"
"United States of America","Brighton PV Solar Plant",1.8,39.9825,-104.9408,"Solar"
"United States of America","Broadridge Solar  LLC",5,34.5229,-78.9572,"Solar"
"United States of America","Broadway Solar Center  LLC",5,34.3093,-78.8314,"Solar"
"United States of America","Brockelman",3,42.4814,-71.7169,"Solar"
"United States of America","Brook Street Solar 1 CSG",5,41.9559,-70.7861,"Solar"
"United States of America","Brookfield Solar 2013 LLC",2,42.2561,-72.0679,"Solar"
"United States of America","Brookside",1,41.9876,-71.584,"Solar"
"United States of America","Browne Solar LLC",1.4,42.2008,-72.3222,"Solar"
"United States of America","Bruce A Henry Solar Farm",4,38.664,-75.4005,"Solar"
"United States of America","Bryan Solar  LLC",10,29.6,-104.3,"Solar"
"United States of America","Bryan Solar Field",2.1,41.4764,-84.5861,"Solar"
"United States of America","Buckeye Union HS District 201",3.3,33.4192,-112.5761,"Solar"
"United States of America","Buckhorn Solar Plant",3,38.0233,-112.7317,"Solar"
"United States of America","Buckingham Solar LLC",19.8,37.5029,-78.3792,"Solar"
"United States of America","Buddy Solar",4,35.5419,-80.3633,"Solar"
"United States of America","Buidling L",1,33.9129,-118.0419,"Solar"
"United States of America","Building F",1.3,33.9144,-118.0502,"Solar"
"United States of America","Building G",1.2,33.9129,-118.0506,"Solar"
"United States of America","Bullock Solar  LLC",50,36.4754,-78.3151,"Solar"
"United States of America","Bunn Level Farm  LLC",5,35.3086,-78.7743,"Solar"
"United States of America","Butler Plaza",1.2,29.6231,-82.38,"Solar"
